Chip_ID,Technology_nm,Frequency_MHz,Voltage_V,Area_mm2,Temperature_C,Power_Watts
C001,28,800,0.9,35,45,1.26
C002,28,1000,0.95,40,50,1.9
C003,28,1200,1.0,50,55,3.0
C004,14,1500,1.05,60,60,4.73
C005,14,1800,1.1,75,65,7.43
C006,14,2000,1.1,85,70,9.35
C007,7,2200,1.15,100,75,12.65
C008,7,2500,1.2,120,80,18.0
C009,7,2800,1.25,140,85,24.5
C010,5,3000,1.3,160,90,31.2
C011,5,900,0.9,30,40,1.09
C012,5,1100,0.95,45,45,2.23
C013,14,1600,1.05,65,55,5.46
C014,28,1400,1.0,55,50,3.85
C015,7,2600,1.2,130,75,20.28
C016,5,3200,1.3,180,95,37.44
C017,14,1700,1.1,70,60,6.79
C018,28,1300,1.0,52,48,3.38
C019,7,2400,1.2,110,78,15.84
C020,5,2900,1.25,150,88,27.19
