Chip_ID,Frequency_MHz,Area_mm2,Power_Watts,Yield_percent,Leakage_mW
U001,800,30,1.2,98,10
U002,900,35,1.5,97,12
U003,1000,40,2.0,96,15
U004,1200,50,3.5,94,20
U005,1500,65,5.0,92,30
U006,1700,70,6.5,90,35
U007,2000,90,9.0,88,45
U008,2200,110,12.0,85,60
U009,2500,130,16.5,82,75
U010,2800,150,22.0,78,90
U011,3000,170,28.0,75,110
U012,3200,190,35.0,70,130
U013,850,32,1.3,98,11
U014,1400,60,4.5,93,28
U015,2100,95,10.5,87,50
U016,2600,135,18.0,80,80
U017,2900,155,24.5,76,100
U018,3100,175,30.0,72,120
U019,1800,80,7.5,89,40
U020,2300,115,14.0,84,65
